id_institution_subnet,model,test_SMAPE,test_R2,test_RMSE,normal_SMAPE,normal_R2
16,SN-24,109.45818894762722,-0.7538639562571581,4850761227.482623,109.64753866178458,-0.7511829713145077
16,SN-168,108.98825688578053,-0.6804267195753888,4748120534.204002,105.86821653057967,-0.5943334908200066
16,MA-24,110.32640138799488,-0.08615236151025707,3817309045.909352,110.68659038233832,-0.10525334284546406
16,MA-168,114.16633144859603,-0.12348611170976032,3882359967.386657,112.7086410033559,-0.13460335563604087
17,Mean,41.87140940239835,-0.00340171495921493,23009774100.197525,41.644003563466164,-1.5105906236989597e-07
17,SN-24,27.752541160952244,0.4211259532182612,17477003569.10589,27.765179010620145,0.41354324411607146
17,SN-168,32.12424533164862,0.2421962645461635,19996468638.615036,31.320174487468822,0.30491444322284167
17,MA-24,34.788984164959665,0.28867141252408857,19373588319.109436,34.67336958814008,0.2792379262125446
17,MA-168,38.42718652377909,0.12098303359970708,21536422587.69247,38.31592653967718,0.10698302762524614
19,Mean,115.75296843812579,-0.060517901319056655,4999237.014057404,111.1926337637031,-0.07057674366479993
19,SN-24,99.74595583287434,-0.8443414341886333,6592731.470991995,102.88644828355189,-0.8651466548335012
19,SN-168,102.98092476288161,-0.8355373783805948,6576977.281430655,102.53638635670386,-0.7977758471195178
19,MA-24,95.83178801434833,-0.06277020195492145,5004542.823945764,100.65127419050467,-0.07274513591615173
19,MA-168,98.23788264333982,-0.06510658688700133,5010040.7760355575,100.09950969974331,-0.07529073110159534
20,Mean,35.745524407474505,-0.006449395876529707,1666973.040434313,32.929715446185355,-5.316387813047996e-05
20,SN-24,30.58273387389795,-0.32087952039793155,1909695.865010447,30.059918485638537,-0.3926402614119673
20,SN-168,35.93739379207784,-0.4935448745118405,2030681.172571577,34.14196442057581,-0.5287317038226584
20,MA-24,28.955679638499948,0.10774227781713364,1569559.4210089582,28.269334415758067,0.07238363938573333
20,MA-168,30.319415987624332,0.06765273857470577,1604432.5129558472,29.08694637097006,0.044521841540201224
21,Mean,52.89740000480604,-0.07552395271790369,955724.4029802748,49.572424529544236,-0.03950208317226078
21,SN-24,44.39329555650755,0.008461410824770255,917650.7887514774,43.475369209379586,-0.033160530643817854
21,SN-168,51.20843774718179,-0.3137450097974439,1056277.8467497334,50.10074888370324,-0.3416991177768256
21,MA-24,46.94537529294862,0.06797725721387271,889684.2179724245,45.686543595887656,0.03698253835831178
21,MA-168,47.38832415785434,0.0472309626953159,899531.6515687682,45.9659089765189,0.019359140298075395
22,Mean,77.25811903618083,-0.14069630341046224,5302737.404305536,73.26821102364339,-0.22001362194253216
22,SN-24,68.38691845676162,-0.2453130863095867,5540569.154871092,67.36444787469362,-0.3384436481432678
22,SN-168,75.9380586881523,-0.4779792779681329,6036000.63101786,72.26972942376462,-0.5049622768407787
22,MA-24,66.61642620875325,0.13596166211625338,4615105.256119076,65.53232845373851,0.07532188643931947
22,MA-168,68.86275552644852,0.06235337922327466,4807670.5585948005,66.88189359858686,0.0010407986564966443
23,Mean,59.47505615844187,-0.005685123357477728,1155.3514799933976,57.52574467803214,-0.007891591234622686
23,SN-24,68.62522078704194,-0.9717388988835249,1617.7366115400096,66.82747238627536,-1.011396815383323
23,SN-168,69.10077809369916,-0.9451141220354411,1606.7771816776835,67.97816285059163,-1.1584021355673895
23,MA-24,51.50408951833029,-0.01086772089281296,1158.32459119611,50.27469683470418,-0.019000470892233334
23,MA-168,53.382063193740336,-0.05859544214319379,1185.354142995172,52.05078353106099,-0.054982176978569886
24,Mean,77.26661584013384,-0.1130439996881798,4536133.364023459,68.26768700976824,-0.07728273634698879
24,SN-24,39.14107820420731,-0.5489683559445431,5351196.771414236,39.306285985402866,-0.5699394368296657
24,SN-168,44.04080630575807,-0.41882550348974923,5121464.200331177,42.46462935599594,-0.4880471938095199
24,MA-24,29.27941899088325,0.14017308893993286,3986898.3675637175,29.47713015573619,0.1380681545698904
